title,link,deadline
Joint call for proposals with South Korea in the quantum domain,www.snf.ch/en/vZ7aoI3dnNqCJrLg/news/joint-call-for-proposals-with-south-korea-in-the-quantum-domain,2 7 . 0 2 . 2 0 2 5   1 7 : 0 0   C E T
JPND JTC call 2025: EU Joint Programme – Neurodegenerative Disease Research,www.snf.ch/en/Jh6e2ulwHIaIlDJs/news/jpnd-jtc-call-2025-eu-joint-programme-neurodegenerative-disease-research,0 4 . 0 3 . 2 0 2 5   1 2 : 0 0   C E T
Spark: call for proposals,www.snf.ch/en/CVNR0Q5f3P32Cg9f/news/spark-call-for-proposals,0 4 . 0 3 . 2 0 2 5   1 7 : 0 0   C E T
ERA-NET NEURON JTC call 2025,www.snf.ch/en/dndthOUtBQ9tMvFV/news/era-net-neuron-jtc-call-2025,0 6 . 0 3 . 2 0 2 5   1 4 : 0 0   C E T
SCIEX – Scientific Exchanges between Switzerland and Bulgaria: Call for Proposals,www.snf.ch/en/YRy2u1Q7JLUh7ztR/news/sciex-scientific-exchanges-between-switzerland-and-bulgaria-call-for-proposals,1 3 . 0 3 . 2 0 2 5   1 7 : 0 0   C E T
Call for proposals BRIDGE Discovery,www.snf.ch/en/xWCKclp8LYo3Fbn1/news/call-for-proposals-bridge-discovery,2 5 . 0 3 . 2 0 2 5   1 7 : 0 0   C E T
Call for proposals Project funding,www.snf.ch/en/OiHELQDjpCIeeU9r/news/call-for-proposals-project-funding,0 1 . 0 4 . 2 0 2 5   1 7 : 0 0   C E S T
Biodiversa+: new call opening,www.snf.ch/en/Ib5ONbYu0nRcVtMm/news/biodiversa-new-call-opening,1 1 . 0 4 . 2 0 2 5   1 7 : 0 0   C E S T
CHIST-ERA 2025 call for proposals: Science in your Own Language,www.snf.ch/en/UeSZ6jHX3pEZWcT2/news/chist-era-2025-call-for-proposals-science-in-your-own-language,1 5 . 0 4 . 2 0 2 5   1 7 : 0 0   C E S T
Driving Urban Transitions: call for European projects,www.snf.ch/en/IzZ2aa5iJWMbIL5u/news/driving-urban-transitions-call-for-european-projects,2 4 . 0 4 . 2 0 2 5   1 7 : 0 0   C E S T
Water4All: new call opening,www.snf.ch/en/cufUjDDOV9DZX5J3/news/water4all-new-call-opening,2 9 . 0 4 . 2 0 2 5   1 7 : 0 0   C E S T
Call for COST projects in Switzerland,www.snf.ch/en/8M171vum2aWTUwDJ/news/call-for-cost-projects-in-switzerland,2 9 . 0 4 . 2 0 2 5   1 7 : 0 0   C E S T
Call for proposals: JSPS Postdoctoral Fellowships 2025,www.snf.ch/en/y0zm3sSwV5bgdB13/news/call-for-proposals-jsps-postdoctoral-fellowships-2025,3 0 . 0 4 . 2 0 2 5   1 7 : 0 0   C E S T
NRP 84 “Plant Breeding Innovation”: second call for proposals now open,www.snf.ch/en/Yck0XtGdF0F1rSst/news/nrp-84-plant-breeding-innovation-second-call-for-proposals-now-open,0 7 . 0 5 . 2 0 2 5   1 7 : 0 0   C E S T
Belmont Forum: Tropical Forests call for proposals ,www.snf.ch/en/119z6teKCXhcLsFW/news/belmont-forum-tropical-forests-call-for-proposals,3 0 . 0 5 . 2 0 2 5   1 7 : 0 0   C E S T
Call for proposals THCS: Better Care Closer to Home – Enhancing Primary and Community Care ,www.snf.ch/en/w1Nps3ZPLgBtpltk/news/call-for-proposals-thcs-better-care-closer-to-home-enhancing-primary-and-community-care,1 9 . 0 6 . 2 0 2 5   1 7 : 0 0   C E S T
ERDERA: Joint Transnational Call for Proposals on Rare Disease Therapies,www.snf.ch/en/JyWIHEplWnGTliKQ/news/erdera-joint-transnational-call-for-proposals-on-rare-disease-therapies,0 9 . 0 7 . 2 0 2 5   1 7 : 0 0   C E S T
